,0,1,2,3
0,Robert De Niro,Alan Arkin,Josh Hutcherson,Josh Brolin
1,Jack Nicholson,Benedict Cumberbatch,Charlie Hunnam,Hal Holbrook
2,Tom Hanks,Chris Hemsworth,Nicholas Hoult,Djimon Hounsou
3,Marlon Brando,Henry Cavill,Aaron Taylor-Johnson,Matt Dillon
4,Leonardo DiCaprio,Tom Hardy,Bryan Cranston,Alan Alda
5,Humphrey Bogart,Jean Dujardin,Gerard Butler,Thomas Haden Church
6,Johnny Depp,Colin Firth,Paul Walker,Clive Owen
7,Al Pacino,Jamie Foxx,Karl Urban,Ken Watanabe
8,Denzel Washington,Adrien Brody,Logan Lerman,Suraj Sharma
9,Laurence Olivier,Roberto Benigni,Dave Franco,John C. Reilly
10,Brad Pitt,Jeremy Irons,Tom Hiddleston,Michael Clarke Duncan
11,Daniel Day-Lewis,William Hurt,Peter Dinklage,Haley Joel Osment
12,Tom Cruise,F. Murray Abraham,Taylor Kitsch,Greg Kinnear
13,Cary Grant,Richard Dreyfuss,Alex Pettyfer,Burt Reynolds
14,Dustin Hoffman,Peter Finch,Guy Pearce,Robert Forster
15,Clark Gable,Art Carney,Mark Ruffalo,Jason Schwartzman
16,Sean Penn,Cliff Robertson,Mickey Rourke,William H. Macy
17,Christian Bale,Rod Steiger,Frank Langella,Armin Mueller-Stahl
18,Gregory Peck,Chris Pratt,Eddie Redmayne,Tim Roth
19,Harrison Ford,Lee Marvin,David Strathairn,James Cromwell
20,Spencer Tracy,Rex Harrison,Terrence Howard,Chazz Palminteri
21,George Clooney,Maximilian Schell,Don Cheadle,Gary Sinise
22,Charlton Heston,David Niven,Tom Wilkinson,Paul Scofield
23,Anthony Hopkins,Yul Brynner,Richard Farnsworth,Pete Postlethwaite
24,Russell Crowe,Ernest Borgnine,Nick Nolte,Mads Mikkelsen
25,Katharine Hepburn,Chloë Grace Moretz,AnnaSophia Robb,Jada Pinkett Smith
26,Meryl Streep,Anna Kendrick,Gemma Arterton,Tatum O'Neal
27,Ingrid Bergman,Emily Watson,Olivia Wilde,Anna Faris
28,Marilyn Monroe,Helena Bonham Carter,Isla Fisher,Ashley Greene
29,Jennifer Lawrence,Keira Knightley,Shailene Woodley,Famke Janssen
30,Kate Winslet,Alexis Thorpe,Rebel Wilson,Rosamund Pike
31,Elizabeth Taylor,Marion Davies,Emma Roberts,Bonnie Hunt
32,Cate Blanchett,Scarlett Johansson,Amber Heard,Leslie Mann
33,Audrey Hepburn,Dakota Fanning,Teresa Palmer,Mindy Kaling
34,Helen Mirren,Jennifer Aniston,Saoirse Ronan,Analeigh Tipton
35,Bette Davis,Jennifer Connelly,Elizabeth Banks,Thandie Newton
36,Nicole Kidman,Rachel McAdams,Kristen Bell,Amanda Peet
37,Sandra Bullock,Carey Mulligan,Natalie Dormer,Julia Stiles
38,Natalie Portman,Mila Kunis,Brittany Snow,Maria Bello
39,Jodie Foster,Amanda Seyfried,Kate Mara,Eva Mendes
40,Judi Dench,Jennifer Lopez,Julianne Hough,Emily Blunt
41,Amy Adams,Neve Campbell,Lily Collins,Rose Byrne
42,Julia Roberts,Fairuza Balk,Cobie Smulders,Ashley Judd
43,Emma Thompson,Jessica Alba,Alice Eve,Emilia Clarke
44,Diane Keaton,Kristen Stewart,Jamie Chung,Christina Applegate
45,Grace Kelly,Julie Walters,Noomi Rapace,Nia Long
46,Shirley MacLaine,Rooney Mara,Blake Lively,Felicity Jones
47,Reese Witherspoon,Jamie Lee Curtis,Maggie Grace,Téa Leoni
48,Charlize Theron,Emma Stone,Jessica Biel,Alexandra Daddario
49,Judy Garland,Kirsten Dunst,Eva Green,Jena Malone
50,John Wayne,José Ferrer,Peter Fonda,Richard Gere
51,Sidney Poitier,Broderick Crawford,Woody Harrelson,Nick Frost
52,Paul Newman,Ronald Colman,Billy Bob Thornton,Ray Liotta
53,Matt Damon,Fredric March,Idris Elba,Chris Rock
54,Robert Duvall,Ray Milland,Nigel Hawthorne,Jon Hamm
55,James Dean,Bing Crosby,Laurence Fishburne,Neil Patrick Harris
56,Kirk Douglas,Paul Lukas,Stephen Rea,Charlie Sheen
57,Henry Fonda,Robert Donat,Warren Beatty,Mark Rylance
58,Robin Williams,Paul Muni,Gérard Depardieu,Andy Garcia
59,Orson Welles,Victor McLaglen,Richard Harris,Michael Lerner
60,Christoph Waltz,Charles Laughton,Kenneth Branagh,Graham Greene
61,Heath Ledger,Wallace Beery,Edward James Olmos,Bruce Davison
62,Sean Connery,Kurt Russell,Max von Sydow,Dan Aykroyd
