,0,1,2,3
0,Mel Gibson,Jim Jarmusch,Sidney Lumet,D.W. Griffith
1,Quentin Tarantino,Alfonso Cuarón,Andrei Tarkovsky,Giuseppe Tornatore
2,Tim Burton,Yimou Zhang,Billy Wilder,Frank Capra
3,Clint Eastwood,Pedro Almodóvar,Federico Fellini,Michelangelo Antonioni
4,Christopher Nolan,Francis Ford Coppola,Jean-Luc Godard,David Lean
5,Ron Howard,Charles Chaplin,Robert Altman,William Wyler
6,Steven Spielberg,Robert Rodriguez,Jean-Pierre Jeunet,Anthony Minghella
7,Woody Allen,Hayao Miyazaki,John Huston,Jim Sheridan
8,Martin Scorsese,Lars von Trier,Kar-Wai Wong,Jean-Pierre Dardenne
9,David Fincher,Brian De Palma,Milos Forman,Vittorio De Sica
10,Andrzej Wajda,David Cronenberg,Mike Nichols,F.W. Murnau
11,Ridley Scott,Terry Gilliam,John Ford,Costa-Gavras
12,Wes Anderson,Steven Soderbergh,Takeshi Kitano,Robert Bresson
13,Stanley Kubrick,Orson Welles,François Truffaut,Jean Renoir
14,David Lynch,Akira Kurosawa,Blake Edwards,Michael Curtiz
15,James Cameron,Spike Jonze,Emir Kusturica,Jean-Pierre Melville
16,Paul Thomas Anderson,Michael Mann,Krzysztof Kieslowski,Carl Theodor Dreyer
17,Werner Herzog,Frank Darabont,Bernardo Bertolucci,Richard Brooks
18,Alfred Hitchcock,Sam Mendes,Tom Tykwer,Theodoros Angelopoulos
19,Alejandro G. Iñárritu,Ingmar Bergman,Luis Buñuel,Fred Zinnemann
20,Roman Polanski,Buster Keaton,Elia Kazan,Jafar Panahi
21,Peter Jackson,Gus Van Sant,Sam Peckinpah,Preston Sturges
22,Joel Coen,Sergio Leone,Fritz Lang,King Vidor
23,Mel Brooks,Sydney Pollack,Howard Hawks,Robert Rossen
24,Oliver Stone,Michael Haneke,Rainer Werner Fassbinder,Kaige Chen
