,Name,Genre,Director,Cast
0,The Shawshank Redemption,Crime/Drama,Frank Darabont,Tim Robbins/Morgan Freeman
1,The Godfather,Crime/Drama,Francis Ford Coppola,Marlon Brando/Al Pacino
2,"The Godfather, Part II",Crime/Drama,Francis Ford Coppola,Al Pacino/Robert De Niro
3,The Dark Knight,Action/Crime/Drama,Christopher Nolan,Christian Bale/Heath Ledger
4,"The Good, the Bad and the Ugly",Western,Sergio Leone,Clint Eastwood/Eli Wallach
5,Pulp Fiction,Crime/Drama,Quentin Tarantino,John Travolta/Uma Thurman
6,12 Angry Men,Crime/Drama,Sidney Lumet,Henry Fonda/Lee J. Cobb
7,Schindler's List,Biography/Drama/History,Steven Spielberg,Liam Neeson/Ralph Fiennes
8,Fight Club,Drama,David Fincher,Brad Pitt/Edward Norton
9,The Lord of the Rings: The Fellowship of the Ring,Adventure/Drama/Fantasy,Peter Jackson,Elijah Wood/Ian McKellen
10,Inception,Action/Adventure/Sci-Fi,Christopher Nolan,Leonardo DiCaprio/Joseph Gordon-Levitt
11,Star Wars: Episode V - The Empire Strikes Back,Action/Adventure/Fantasy,Irvin Kershner,Mark Hamill/Harrison Ford
12,Forrest Gump,Comedy/Drama,Robert Zemeckis,Tom Hanks/Robin Wright
13,One Flew Over the Cuckoo's Nest,Drama,Milos Forman,Jack Nicholson/Louise Fletcher
14,Seven Samurai,Action/Adventure/Drama,Akira Kurosawa,Toshirô Mifune/Takashi Shimura
15,The Lord of the Rings: The Two Towers,Adventure/Drama/Fantasy,Peter Jackson,Elijah Wood/Ian McKellen
16,Goodfellas,Biography/Crime/Drama,Martin Scorsese,Robert De Niro/Ray Liotta
17,Star Wars: Episode IV - A New Hope,Action/Adventure/Fantasy,George Lucas,Mark Hamill/Harrison Ford
18,The Matrix,Action/Sci-Fi,Lana Wachowski,Keanu Reeves/Laurence Fishburne
19,City of God,Crime/Drama,Fernando Meirelles,Alexandre Rodrigues/Matheus Nachtergaele
20,Once Upon a Time in the West,Western,Sergio Leone,Henry Fonda/Charles Bronson
21,It's a Wonderful Life,Drama/Family/Fantasy,Frank Capra,James Stewart/Donna Reed
22,The Usual Suspects,Crime/Drama/Mystery,Bryan Singer,Kevin Spacey/Gabriel Byrne
23,Se7en,Crime/Drama/Mystery,David Fincher,Morgan Freeman/Brad Pitt
24,City Lights,Drama/Thriller,Hansal Mehta,Rajkummar Rao/Mallhar Goenka
25,Léon: The Professional,Crime/Drama/Thriller,Luc Besson,Jean Reno/Gary Oldman
26,Casablanca,Drama/Romance/War,Michael Curtiz,Humphrey Bogart/Ingrid Bergman
27,The Silence of the Lambs,Crime/Drama/Thriller,Jonathan Demme,Jodie Foster/Anthony Hopkins
28,Life Is Beautiful,Comedy/Drama/War,Roberto Benigni,Roberto Benigni/Nicoletta Braschi
29,The Intouchables,Biography/Comedy/Drama,Olivier Nakache,François Cluzet/Omar Sy
30,Spirited Away,Animation/Adventure/Family,Hayao Miyazaki,Daveigh Chase/Suzanne Pleshette
31,Raiders of the Lost Ark,Action/Adventure,Steven Spielberg,Harrison Ford/Karen Allen
32,Rang De Basanti,Comedy/Drama/History,Rakeysh Omprakash Mehra,Aamir Khan/Soha Ali Khan
33,Rear Window,Mystery/Thriller,Alfred Hitchcock,James Stewart/Grace Kelly
34,The Dark Knight Rises,Action/Thriller,Christopher Nolan,Christian Bale/Tom Hardy
35,American History X,Crime/Drama,Tony Kaye,Edward Norton/Edward Furlong
36,Modern Times,Comedy/Drama/Family,Charles Chaplin,Charles Chaplin/Paulette Goddard
37,Psycho,Horror/Mystery/Thriller,Alfred Hitchcock,Anthony Perkins/Janet Leigh
38,Like Stars on Earth,Drama/Family/Music,Aamir Khan,Darsheel Safary/Aamir Khan
39,Sunset Boulevard,Drama/Film-Noir,Billy Wilder,William Holden/Gloria Swanson
40,Saving Private Ryan,Action/Drama/War,Steven Spielberg,Tom Hanks/Matt Damon
41,The Wolf of Wall Street,Biography/Comedy/Crime,Martin Scorsese,Leonardo DiCaprio/Jonah Hill
42,Dr. Strangelove or How I Learned to Stop Worrying and Love the Bomb,Comedy,Stanley Kubrick,Peter Sellers/George C. Scott
43,Memento,Mystery/Thriller,Christopher Nolan,Guy Pearce/Carrie-Anne Moss
44,Terminator 2: Judgment Day,Action/Sci-Fi/Thriller,James Cameron,Arnold Schwarzenegger/Linda Hamilton
45,Cinema Paradiso,Drama,Giuseppe Tornatore,Philippe Noiret/Enzo Cannavale
46,The Pianist,Biography/Drama/War,Roman Polanski,Adrien Brody/Thomas Kretschmann
47,Apocalypse Now,Drama/War,Francis Ford Coppola,Martin Sheen/Marlon Brando
