,Name,Genre,Director,Cast,Image,Trailer
0,Doctor Strange (2016),Action/Adventure/Fantasy/Sci-Fi,Scott Derrickson,Benedict Cumberbatch/Chiwetel Ejiofor,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjM2ODA4MTM0M15BMl5BanBnXkFtZTgwNzE5OTYxMDI@._V1_UY209_CR1,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi1822209561?ref_=cs_ov_vi
1,Trolls (2016),Animation/Adventure/Comedy/Family/Fantasy/Musical,Walt Dohrn,Anna Kendrick/Justin Timberlake,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTkxNDc3OTcxMV5BMl5BanBnXkFtZTgwODk2NjAzOTE@._V1_UY209_CR0,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi2259334681?ref_=cs_ov_vi
2,Hacksaw Ridge (2016),Biography/Drama/Romance/War,Mel Gibson,Andrew Garfield/Sam Worthington,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjQ1NjM3MTUxNV5BMl5BanBnXkFtZTgwMDc5MTY5OTE@._V1_UX140_CR0,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi2608248601?ref_=cs_ov_vi
3,Loving (2016),Biography/Drama,Jeff Nichols,Ruth Negga/Joel Edgerton,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE4NTI3NjIzOF5BMl5BanBnXkFtZTgwNjI0NTI5ODE@._V1_UY209_CR0,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi501069593?ref_=cs_ov_vi
4,The Eagle Huntress (2016),Documentary/Adventure/Family/Sport,Otto Bell,Aisholpan Nurgaiv/Daisy Ridley,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjAxNDgwNDYzMl5BMl5BanBnXkFtZTgwNTQ3NDc3OTE@._V1_UY209_CR0,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi1515960089?ref_=cs_ov_vi
5,Peter and the Farm (2016),Documentary,Tony Stone,Peter Dunning,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc0ODE2ODU4OF5BMl5BanBnXkFtZTgwMTAxMjU5OTE@._V1_UY209_CR0,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi1420080665?ref_=cs_ov_vi
6,Billy Lynn's Long Halftime Walk (2016),Drama/War,Ang Lee,Kristen Stewart/Vin Diesel,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY1NDI1Nzg4OF5BMl5BanBnXkFtZTgwNjYxOTg4ODE@._V1_UX140_CR0,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi1845278233?ref_=cs_ov_vi
7,Almost Christmas (2016),Comedy/Drama,David E. Talbert,Gabrielle Union/Jessie T. Usher,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjM1MTkwNTQ1Ml5BMl5BanBnXkFtZTgwNTc5ODgxOTE@._V1_UX140_CR0,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi1010938905?ref_=cs_ov_vi
8,Arrival (2016),Drama/Mystery/Sci-Fi/Thriller,Denis Villeneuve,Amy Adams/Jeremy Renner,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTExMzU0ODcxNDheQTJeQWpwZ15BbWU4MDE1OTI4MzAy._V1_UX140_CR0,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi2901718553?ref_=cs_ov_vi
9,Shut In (2016),Drama/Thriller,Farren Blackburn,Naomi Watts/Charlie Heaton,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjM3MTAyMTE2MV5BMl5BanBnXkFtZTgwMzY5MzM0MDI@._V1_UY209_CR0,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi3317347865?ref_=cs_ov_vi
10,Elle (2016),Drama/Thriller,Paul Verhoeven,Isabelle Huppert/Laurent Lafitte,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc5NDI5MzA1OF5BMl5BanBnXkFtZTgwMTQzNTQwMDI@._V1_UY209_CR1,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi3770398233?ref_=cs_ov_vi
